x,y
-12.59129143, 0.4183710426818461
-12.21845737, 0.4516696142538219
-11.79901991, 0.4183710426818461
-11.41065118, 0.36842118460858764
-10.97567905, 0.31847132653533095
-10.56400831, 0.36842118460858764
-10.16787224, 0.36842118460858764
-9.756201495, 0.31847132653533095
-9.352298712, 0.31847132653533095
-8.940627968, 0.3351212792264171
-8.536725185, 0.36842118460858764
-8.132822401, 0.40171975618056344
-7.705615739, 0.4516696142538219
-7.317248874,0.518270759
-6.866740822, 0.6015205222837938
-6.470604754, 0.7180715249315934
-6.066703215, 0.8013199545768277
-5.670567146, 0.9678208152978858
-5.258896403, 1.0510705787533148
-4.901597643, 1.2342213921654626
-4.497694859, 1.3840723001954345
-4.148162814, 1.7503712593993264
-3.798632014, 2.2998223658255625
-3.42579858, 2.5662229426931376
-3.06073186, 3.0324229518537464
-2.781106473, 3.5652241055888965
-2.34613434, 3.7983234432641027
-2.291762357, 4.597523840056631
-2.074275668, 5.313475807203925
-1.701442234, 5.330125759895012
-1.522792854, 5.946176677085592
-1.219866077,6.462326544
-0.831497968, 6.745377073878121
-0.41206051, 6.695427215804862
-0.031457872, 6.345776875481857
0.29477153913960485, 5.8795761994161495
0.63653438, 5.313475807203925
0.9549958311929796, 4.8972243223063785
1.304529120499165, 4.364424502381425
1.6618278803976896, 4.048073400535493
2.104566728275014, 3.7317242994048563
2.4696334476987616, 3.5652241055888965
2.8657695162905163, 3.448673102941097
3.2386017063066035, 3.3321234341034938
3.665807124066365, 3.1822738598837184
4.061943193, 3.0490729045448326
4.4736151803003175, 2.949171854588119
4.8542153298416295, 2.8159735668696264
5.265884828550945, 2.5662229426931376
5.662020897, 2.4330233211644483
6.050391495142115, 2.2831724131344764
6.4698289533766555, 1.983471930884729
6.741685136363497, 1.6504715432528094
7.161122594598037, 1.600521685179551
7.541725233072228, 1.450670777149579
7.9689306508319895, 1.4173722055776068
8.372832190016087, 1.2841712502387175
8.71459752, 1.0843718179456872
8.310695980612955, 0.7014202384303108
7.9067894635630935, 0.43502099537293226
7.510655883904221, 0.16862041850535725
7.145591653413359,-0.081130206
6.718383746720711,-0.280929638
6.337781108246521,-0.480730404
5.926111609537205,-0.697181123
5.5299755409454505,-0.847032031
5.126074001761353,-1.013530224
4.729937933169598,-1.146731179
4.333801864577847,-1.37983085
3.953201715036535,-1.629581475
3.5182283377515517,-1.846032193
3.184233456428693,-2.179031247
2.8580040456981752,-2.711832401
2.578377414253227,-3.277932126
2.2676814336402735,-4.010532712
1.9802893316029841,-4.5433352
1.6851292700404752,-5.126084878
1.3977371680031858,-5.708834556
1.0482063676298843,-6.208335471
0.7219769568993666,-6.591286383
0.5899316007021138,-7.340536922
0.4578862445048628,-8.02318765
0.27146766056393723,-8.572637423
0.16272618294235208,-8.805738094
-0.039225831,-8.356188038
-0.326617933,-7.740138454
-0.629545954,-7.124086203
-0.885868707,-6.491386667
-1.087820721,-5.675534984
-1.181028769,-4.826384396
-1.30530741,-4.077133523
-1.429584806,-3.244633555
-1.724744868,-2.761782259
-2.128647652,-2.661882543
-2.52478372,-2.3954833
-2.920919789,-1.962581862
-3.270450589,-1.762781096
-3.736493316,-1.612931522
-4.086024116,-1.496381853
-4.482160185,-1.263280515
-4.854993619,-1.130080226
-5.297733711,-1.080130368
-5.437545783,-1.130080226
-5.561824424,-0.763779933
-5.996796557,-0.763779933
-6.400698096,-0.613929692
-5.942424573,-0.464080118
-5.569591139,-0.364179735
-5.134619006,-0.297580591
-4.769552287,-0.280929971
-4.326812194,-0.247630733
-3.511238668,-0.297580591
-2.695665141,-0.314229877
-1.056751372,-0.347530449
